,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
387,616,disenchanted,4,2,10,7
388,617,jumanji: the next level,1,2,10,15
389,618,the mask,1,9,4,24
390,619,the heat,1,9,4,24
391,620,hot fuzz,1,9,0,94
392,621,big trouble in little china,1,2,10,15
393,622,frozen,4,2,10,7
394,623,tangled,4,2,10,7
395,624,13 going on 30,5,0,17,41
396,625,incredibles 2,4,1,3,23
397,626,real genius,5,13,6,30
398,627,mamma mia! here we go again,5,12,17,59
399,628,hook,2,9,16,8
400,629,the princess diaries,5,8,17,22
401,630,beverly hills cop,1,9,4,24
402,631,men in black,1,2,10,15
403,632,untitled super mario project,4,2,10,7
404,633,diary of a wimpy kid,5,14,16,70
405,634,shrek,4,2,10,7
406,635,(500) days of summer,5,14,17,16
407,636,roald dahl's matilda the musical,5,14,16,70
408,637,inside out,4,2,10,7
409,638,nope,6,4,6,1
410,641,last night in soho,8,10,0,12
411,642,get out,6,4,14,42
412,643,men,8,0,11,18
413,644,orphan: first kill,3,14,11,25
414,645,us,6,4,14,42
415,646,orphan,6,4,14,42
416,647,midsommar,8,10,0,12
417,649,crimes of the future,8,10,6,19
418,651,umma,8,10,0,12
419,653,american psycho,3,14,11,25
420,654,scream,6,4,14,42
421,655,watcher,8,10,14,10
422,656,old,8,10,0,12
423,659,resurrection,3,14,11,25
424,660,bones and all,8,10,17,91
425,661,interview with the vampire: the vampire chronicles,8,0,11,18
426,665,srpski film,6,4,14,42
427,666,hereditary,8,10,0,12
428,668,the rental,8,10,0,12
429,669,it chapter two,8,0,11,18
430,670,the vvitch: a new-england folktale,8,0,11,18
431,671,eight for silver,0,10,0,38
432,672,jeepers creepers reborn,6,4,14,42
433,675,mad god,4,0,11,54
434,676,the thing,6,4,6,1
435,679,the conjuring,6,4,14,42
436,680,the mist,6,5,14,11
437,681,sinister,6,4,14,42
438,682,dracula,8,0,11,18
439,684,malignant,3,10,0,78
440,685,fear street: 1994,8,10,0,12
441,686,scream 6,6,4,14,42
442,687,mother!,8,10,0,12
443,688,de uskyldige,8,0,11,18
444,690,a quiet place part ii,8,10,6,19
445,691,a quiet place,8,10,6,19
446,693,suspiria,8,0,11,18
447,695,the lighthouse,8,0,11,18
448,697,insidious,6,4,14,42
449,698,doctor sleep,8,0,11,18
450,700,fear street: 1978,8,10,0,12
451,701,what ever happened to baby jane?,8,10,14,10
452,702,under the skin,8,10,0,12
453,705,bone tomahawk,8,10,9,63
454,707,psycho,6,4,14,42
455,708,alien: covenant,6,5,14,11
456,709,the hunt,1,10,14,69
457,710,underwater,1,10,6,20
458,711,from dusk till dawn,1,3,11,80
459,712,firestarter,8,10,6,19
460,714,lamb,8,0,11,18
461,715,army of the dead,1,3,11,80
462,716,28 days later...,8,10,6,19
463,717,they live,1,10,6,20
464,718,she will,8,10,14,10
465,719,it follows,6,4,14,42
466,720,el hoyo,6,5,14,11
467,721,world war z,1,2,11,52
468,722,the invisible man,8,10,0,12
469,723,malnazidos,1,2,2,9
470,724,constantine,1,0,11,56
471,725,texas chainsaw massacre,3,10,14,33
472,726,sweeney todd: the demon barber of fleet street,8,10,13,10
473,727,busanhaeng,1,10,14,69
474,728,the cabin in the woods,6,4,14,42
475,729,saw,6,4,14,42
476,730,life,6,5,14,11
477,731,megan is missing,8,10,14,10
478,732,10 cloverfield lane,8,10,0,12
479,733,the night house,6,4,14,42
480,734,the conjuring 2,6,4,14,42
481,735,the killing of a sacred deer,8,10,0,12
482,736,resident evil: apocalypse,1,10,6,20
483,737,the rocky horror picture show,5,10,13,90
484,738,the crow,1,3,18,14
485,739,jaws 2,2,10,14,74
486,740,unsane,8,10,0,12
487,741,vivarium,6,4,6,1
488,742,antichrist,8,10,14,10
489,743,event horizon,6,5,14,11
490,744,hotel transylvania: transformania,4,2,10,7
491,745,the descent,2,10,14,74
492,746,no one gets out alive,8,10,0,12
493,747,the craft,8,0,11,18
494,748,don't breathe,3,10,14,33
495,749,the others,6,4,14,42
496,751,titane,8,10,6,19
497,752,the conjuring: the devil made me do it,6,4,14,42
498,753,the house that jack built,3,14,11,25
499,754,evil dead rise,0,10,14,69
500,755,glass,8,10,6,19
501,756,house of darkness,5,10,0,29
502,757,the deep house,8,10,0,12
503,758,predator 2,1,10,6,20
504,759,the forever purge,1,10,14,69
505,760,gerald's game,8,10,14,10
506,761,friday the 13th,6,4,14,42
507,762,the new mutants,1,10,0,94
508,763,halloween,3,10,14,33
509,764,resident evil: retribution,1,10,6,20
510,765,antlers,8,10,0,12
511,766,the visit,6,4,14,42
512,767,resident evil: the final chapter,1,10,6,20
513,768,fantasy island,0,10,0,38
514,769,zombieland,1,9,11,47
515,770,alien³,1,10,6,20
516,771,the monster that challenged the world,6,5,14,11
517,772,little shop of horrors,5,10,13,90
518,773,species,1,10,6,20
519,774,the fly,8,10,6,19
520,775,escape room,1,2,11,52
521,776,sleepy hollow,0,10,0,38
522,777,gremlins,5,0,11,54
523,778,the nun,6,4,14,42
524,779,freaky,5,10,14,45
525,780,the purge,6,5,14,11
526,781,the turning,8,10,0,12
527,782,escape room: tournament of champions,1,2,11,52
528,783,don't breathe 2,1,3,11,80
529,784,end of days,1,0,11,56
530,785,in the mouth of madness,8,0,11,18
531,786,climax,8,10,15,10
532,787,the faculty,6,4,6,1
533,788,alien resurrection,1,10,6,20
534,789,scream 4,5,10,0,29
535,790,ang-ma-reul bo-at-da,1,3,18,14
536,791,mandy,1,0,11,56
537,792,spiral: from the book of saw,1,2,4,44
538,793,jaws 3-d,2,10,14,74
539,794,the invitation,8,10,0,12
540,795,the ritual,6,4,14,42
541,796,the cell,3,10,6,98
542,797,night teeth,1,3,18,14
543,798,the last house on the left,3,10,14,33
544,800,the green slime,8,10,6,19
545,801,death becomes her,5,0,11,54
546,802,brightburn,8,10,0,12
547,803,american carnage,5,10,0,29
548,804,ghostland,8,10,0,12
549,805,wendell and wild,4,2,10,7
550,806,blade: trinity,1,10,6,20
551,807,haunted mansion,5,14,16,70
552,808,resident evil: extinction,1,10,6,20
553,809,hellboy ii: the golden army,1,2,2,9
554,810,alone,8,10,0,12
555,813,where the crawdads sing,8,4,14,28
556,825,killers of the flower moon,3,14,8,68
557,838,deep water,8,4,14,28
558,846,pipa,3,14,0,21
559,848,se7en,3,14,0,21
560,856,fifty shades of grey,8,13,14,27
561,861,legend,7,3,18,77
562,864,the departed,3,14,14,2
563,866,the talented mr. ripley,3,14,14,2
564,869,joker,3,14,14,2
565,871,the outfit,3,14,0,21
566,880,eyes wide shut,8,4,14,28
567,886,nightmare alley,3,14,14,2
568,888,the silence of the lambs,3,14,14,2
569,889,prisoners,3,14,0,21
570,890,the prestige,8,4,6,55
571,894,gone girl,8,4,14,28
572,896,the voyeurs,8,4,14,28
573,898,no country for old men,3,14,14,2
574,904,ex machina,8,5,14,28
575,909,zero dark thirty,8,15,14,64
576,912,glass onion: a knives out mystery,3,14,14,2
577,914,sleepers,3,14,14,2
578,919,the usual suspects,3,14,0,21
579,921,the mule,3,14,14,2
580,922,wind river,3,14,0,21
581,923,5 against the house,3,14,7,68
582,931,the card counter,3,14,14,2
583,933,promising young woman,3,14,0,21
584,938,stillwater,3,14,14,2
585,945,the place beyond the pines,3,14,14,2
586,947,donnie darko,8,4,6,55
587,949,heojil kyolshim,3,14,0,21
588,951,reservoir dogs,3,14,14,2
589,952,the thomas crown affair,3,14,17,95
590,954,the guilty,3,14,14,2
591,955,the hateful eight,3,14,0,21
592,962,primal fear,3,14,0,21
593,964,a time to kill,3,14,14,2
594,966,the sixth sense,8,4,14,28
595,972,ah-ga-ssi,8,13,14,27
596,973,uncut gems,3,14,14,2
597,976,idi i smotri,8,7,5,50
598,978,the devil all the time,3,14,14,2
599,980,bad times at the el royale,3,14,0,21
600,985,basic instinct,8,4,14,28
601,988,nightcrawler,3,14,14,2
602,991,signs,8,4,6,55
603,992,the imitation game,7,14,14,89
604,998,red sparrow,1,14,14,39
605,1000,mulholland dr.,8,4,14,28
606,1001,the little things,3,14,0,21
607,1004,the game,8,4,14,28
608,1005,the lincoln lawyer,3,14,0,21
609,1006,salinui chueok,3,14,0,21
610,1008,terror on the prairie,8,7,9,36
611,1013,the devil's advocate,8,4,14,28
612,1014,the equalizer,1,3,14,0
613,1016,true romance,3,14,17,95
614,1018,unfaithful,8,13,14,27
615,1019,blue velvet,3,14,0,21
